client_reference,full_customer_name,contact_email,transaction_ref,item_reference,transaction_date,amount_paid,payment_status,delivery_status,customer_segment,region,product_line,quantity_ordered,unit_cost,total_value,discount_applied,shipping_fee,tax_amount,notes_comments,last_modified_timestamp
CLI_0346,Bob Wilson,reconcile20@test.com,TXN_00995,ITM_128,11/26/2023,754.16,COMPLETED,IN_TRANSIT,PREMIUM,EAST,HOME,9,81.42,653.97,38.37,18.06,35.38,Additional processing required,2023-09-16T18:30:00.000Z
CLI_0052,Bob Wilson,reconcile21@test.com,TXN_00025,ITM_032,2/16/2023,656.63,FAILED,PENDING,VIP,SOUTH,HOME,10,128.06,212.67,90.47,18.99,62.93,,2023-03-11T18:30:00.000Z
CLI_0074,Jane Doe,reconcile22@test.com,TXN_00627,ITM_066,11/2/2023,636.40,COMPLETED,PENDING,STANDARD,SOUTH,BOOKS,9,37.56,166.35,19.74,16.21,43.94,,2023-02-05T18:30:00.000Z
CLI_0141,Jane Doe,reconcile23@test.com,TXN_00669,ITM_123,2/15/2023,710.60,PENDING,IN_TRANSIT,PREMIUM,SOUTH,HOME,5,20.26,547.34,36.57,13.74,26.82,,2023-12-20T18:30:00.000Z
CLI_0059,John Smith,reconcile24@test.com,TXN_00739,ITM_013,9/20/2023,453.63,FAILED,IN_TRANSIT,STANDARD,SOUTH,HOME,6,57.27,383.14,11.39,9.13,56.29,,2023-08-08T18:30:00.000Z
CLI_0124,John Smith,reconcile25@test.com,TXN_00763,ITM_094,12/4/2023,780.70,COMPLETED,DELIVERED,PREMIUM,EAST,ELECTRONICS,6,31.24,273.86,5.14,27.57,8.80,,2023-04-06T18:30:00.000Z
CLI_0046,Alice Johnson,reconcile26@test.com,TXN_00053,ITM_037,9/24/2023,134.79,FAILED,IN_TRANSIT,VIP,SOUTH,HOME,3,178.44,440.02,37.28,8.48,18.64,,2023-07-11T18:30:00.000Z
CLI_0364,Bob Wilson,reconcile27@test.com,TXN_00732,ITM_068,6/7/2023,839.33,FAILED,DELIVERED,STANDARD,WEST,HOME,9,141.16,656.15,23.85,21.01,22.43,Additional processing required,2023-03-21T18:30:00.000Z
CLI_0429,Bob Wilson,reconcile28@test.com,TXN_00721,ITM_090,7/2/2023,610.63,FAILED,IN_TRANSIT,STANDARD,WEST,BOOKS,3,118.38,558.95,1.91,19.36,28.73,Additional processing required,2023-07-12T18:30:00.000Z
CLI_0023,Alice Johnson,reconcile29@test.com,TXN_00574,ITM_049,11/7/2023,541.62,FAILED,DELIVERED,STANDARD,NORTH,BOOKS,10,65.21,395.58,5.60,5.35,33.43,Additional processing required,2023-06-01T18:30:00.000Z
CLI_0242,Bob Wilson,reconcile30@test.com,TXN_00480,ITM_004,5/5/2023,506.36,COMPLETED,PENDING,VIP,SOUTH,FASHION,1,25.31,464.40,66.32,19.60,43.71,,2023-02-25T18:30:00.000Z
CLI_0363,Alice Johnson,reconcile31@test.com,TXN_00070,ITM_023,3/25/2023,1007.04,COMPLETED,DELIVERED,VIP,WEST,FASHION,2,109.96,722.91,49.77,5.90,56.96,,2023-08-03T18:30:00.000Z
CLI_0335,Jane Doe,reconcile32@test.com,TXN_00858,ITM_131,9/18/2023,420.45,COMPLETED,PENDING,STANDARD,NORTH,ELECTRONICS,4,240.06,735.27,48.17,14.84,54.03,,2023-08-17T18:30:00.000Z
CLI_0352,Alice Johnson,reconcile33@test.com,TXN_00805,ITM_158,10/6/2023,706.60,FAILED,IN_TRANSIT,VIP,NORTH,ELECTRONICS,7,251.93,565.88,21.84,18.73,24.35,,2023-08-04T18:30:00.000Z
CLI_0291,John Smith,reconcile34@test.com,TXN_00737,ITM_175,7/18/2023,987.94,PENDING,PENDING,PREMIUM,NORTH,ELECTRONICS,9,33.96,359.68,33.60,11.44,45.97,,2023-01-05T18:30:00.000Z
CLI_0457,Alice Johnson,reconcile35@test.com,TXN_00807,ITM_039,12/9/2023,885.94,FAILED,DELIVERED,STANDARD,NORTH,ELECTRONICS,2,88.15,863.24,39.22,5.39,28.69,,2023-04-20T18:30:00.000Z
CLI_0200,John Smith,reconcile36@test.com,TXN_00389,ITM_024,9/11/2023,457.73,COMPLETED,PENDING,STANDARD,NORTH,ELECTRONICS,4,185.26,589.65,28.92,19.64,12.51,,2023-07-16T18:30:00.000Z
CLI_0316,Bob Wilson,reconcile37@test.com,TXN_00953,ITM_087,10/10/2023,587.52,COMPLETED,PENDING,PREMIUM,SOUTH,ELECTRONICS,8,38.58,848.83,80.14,11.95,62.45,,2023-06-27T18:30:00.000Z
CLI_0192,John Smith,reconcile38@test.com,TXN_00115,ITM_192,2/2/2023,154.41,FAILED,DELIVERED,STANDARD,NORTH,ELECTRONICS,3,250.45,504.16,64.48,13.37,55.77,Additional processing required,2023-08-10T18:30:00.000Z
CLI_0275,John Smith,reconcile39@test.com,TXN_00985,ITM_085,2/2/2023,808.71,FAILED,PENDING,PREMIUM,WEST,ELECTRONICS,10,208.08,839.79,72.14,12.37,17.92,,2023-05-16T18:30:00.000Z
CLI_0181,John Smith,reconcile40@test.com,TXN_00258,ITM_174,6/9/2023,616.90,FAILED,IN_TRANSIT,STANDARD,EAST,HOME,5,259.33,465.15,16.26,10.32,15.82,Additional processing required,2023-12-27T18:30:00.000Z
CLI_0052,Bob Wilson,reconcile41@test.com,TXN_00110,ITM_051,1/15/2023,276.36,COMPLETED,DELIVERED,STANDARD,NORTH,HOME,8,69.98,560.88,11.27,22.16,38.94,,2023-09-18T18:30:00.000Z
CLI_0084,Jane Doe,reconcile42@test.com,TXN_00132,ITM_151,8/3/2023,802.61,FAILED,DELIVERED,VIP,WEST,BOOKS,3,197.09,622.20,51.88,25.31,17.51,Additional processing required,2023-05-31T18:30:00.000Z
CLI_0314,Jane Doe,reconcile43@test.com,TXN_00492,ITM_083,11/1/2023,584.09,FAILED,DELIVERED,STANDARD,NORTH,HOME,10,272.81,767.86,11.78,8.37,5.05,,2023-03-01T18:30:00.000Z
CLI_0451,John Smith,reconcile44@test.com,TXN_00939,ITM_194,7/8/2023,310.94,FAILED,DELIVERED,VIP,WEST,HOME,7,195.27,798.54,82.19,5.94,19.30,Additional processing required,2023-04-06T18:30:00.000Z
CLI_0236,Bob Wilson,reconcile45@test.com,TXN_00195,ITM_114,2/23/2023,656.68,FAILED,IN_TRANSIT,PREMIUM,SOUTH,FASHION,8,125.37,305.01,18.48,11.82,11.16,,2023-07-12T18:30:00.000Z
CLI_0042,Jane Doe,reconcile46@test.com,TXN_00928,ITM_036,2/7/2023,321.51,PENDING,PENDING,PREMIUM,WEST,FASHION,10,262.96,864.43,63.89,12.41,55.89,,2023-01-11T18:30:00.000Z
CLI_0182,Alice Johnson,reconcile47@test.com,TXN_00125,ITM_116,11/20/2023,431.60,FAILED,DELIVERED,VIP,WEST,HOME,10,53.07,894.39,45.41,21.86,55.51,,2023-07-05T18:30:00.000Z
CLI_0478,John Smith,reconcile48@test.com,TXN_00144,ITM_098,8/27/2023,624.21,COMPLETED,PENDING,PREMIUM,WEST,HOME,10,98.58,559.23,1.89,19.27,44.68,,2023-07-27T18:30:00.000Z
CLI_0004,Alice Johnson,reconcile49@test.com,TXN_00551,ITM_169,10/7/2023,132.10,PENDING,DELIVERED,VIP,NORTH,ELECTRONICS,8,281.83,300.09,13.38,24.87,46.44,,2023-05-14T18:30:00.000Z
CLI_0286,Jane Doe,reconcile50@test.com,TXN_00515,ITM_065,8/19/2023,586.98,COMPLETED,PENDING,STANDARD,WEST,HOME,8,280.14,241.14,30.23,20.79,40.73,,2023-02-01T18:30:00.000Z
CLI_0358,John Smith,reconcile51@test.com,TXN_00869,ITM_046,8/27/2023,61.09,FAILED,IN_TRANSIT,STANDARD,SOUTH,HOME,7,92.98,198.89,36.51,27.98,47.21,,2023-03-17T18:30:00.000Z
CLI_0084,Alice Johnson,reconcile52@test.com,TXN_00074,ITM_024,3/9/2023,276.77,PENDING,DELIVERED,VIP,SOUTH,BOOKS,6,169.42,573.95,84.75,15.47,60.97,Additional processing required,2023-05-14T18:30:00.000Z
CLI_0367,Alice Johnson,reconcile53@test.com,TXN_00021,ITM_166,3/5/2023,675.21,FAILED,DELIVERED,VIP,EAST,HOME,4,82.36,398.42,7.98,25.20,29.45,,2023-09-08T18:30:00.000Z
CLI_0055,John Smith,reconcile54@test.com,TXN_00366,ITM_165,2/28/2023,606.55,FAILED,IN_TRANSIT,STANDARD,SOUTH,HOME,1,188.36,174.66,97.22,7.31,31.31,Additional processing required,2023-09-04T18:30:00.000Z
CLI_0429,Alice Johnson,reconcile55@test.com,TXN_00448,ITM_047,9/7/2023,850.73,FAILED,IN_TRANSIT,VIP,SOUTH,ELECTRONICS,6,40.00,444.23,86.77,28.21,41.13,Additional processing required,2023-03-13T18:30:00.000Z
CLI_0196,Bob Wilson,reconcile56@test.com,TXN_00036,ITM_180,8/11/2023,576.88,FAILED,IN_TRANSIT,VIP,SOUTH,HOME,9,159.30,549.62,69.59,14.04,44.43,,2023-10-05T18:30:00.000Z
CLI_0149,Alice Johnson,reconcile57@test.com,TXN_00448,ITM_059,4/28/2023,620.56,COMPLETED,IN_TRANSIT,PREMIUM,EAST,FASHION,7,230.10,461.40,45.77,8.19,33.22,,2023-02-25T18:30:00.000Z
CLI_0117,Jane Doe,reconcile58@test.com,TXN_00359,ITM_050,2/19/2023,87.39,COMPLETED,IN_TRANSIT,PREMIUM,NORTH,ELECTRONICS,8,188.78,206.83,29.33,22.52,29.40,,2023-05-17T18:30:00.000Z
CLI_0481,Alice Johnson,reconcile59@test.com,TXN_00805,ITM_015,6/14/2023,554.29,FAILED,IN_TRANSIT,STANDARD,SOUTH,ELECTRONICS,7,109.30,626.42,31.73,12.30,41.95,Additional processing required,2023-06-30T18:30:00.000Z
CLI_0097,Alice Johnson,reconcile60@test.com,TXN_00754,ITM_083,7/20/2023,462.67,FAILED,IN_TRANSIT,PREMIUM,WEST,HOME,10,104.88,843.42,41.61,22.92,30.94,Additional processing required,2023-05-31T18:30:00.000Z
CLI_0126,Alice Johnson,reconcile61@test.com,TXN_00605,ITM_077,9/16/2023,894.59,PENDING,IN_TRANSIT,VIP,NORTH,HOME,2,117.87,725.75,68.24,25.03,23.14,,2023-07-22T18:30:00.000Z
CLI_0163,Alice Johnson,reconcile62@test.com,TXN_00315,ITM_010,5/3/2023,218.36,FAILED,IN_TRANSIT,PREMIUM,SOUTH,HOME,8,71.92,143.79,76.31,8.47,51.66,,2023-09-18T18:30:00.000Z
CLI_0399,Bob Wilson,reconcile63@test.com,TXN_00632,ITM_039,3/20/2023,920.37,PENDING,DELIVERED,VIP,NORTH,BOOKS,7,225.12,632.12,23.83,6.86,11.46,Additional processing required,2023-09-01T18:30:00.000Z
CLI_0097,Alice Johnson,reconcile64@test.com,TXN_00797,ITM_021,2/13/2023,773.78,FAILED,IN_TRANSIT,VIP,NORTH,BOOKS,9,245.18,550.26,61.41,23.10,61.36,,2023-06-22T18:30:00.000Z
CLI_0265,Alice Johnson,reconcile65@test.com,TXN_00619,ITM_110,11/23/2023,939.74,PENDING,PENDING,VIP,WEST,FASHION,2,301.07,501.71,47.93,10.86,12.75,,2023-07-16T18:30:00.000Z
CLI_0335,Jane Doe,reconcile66@test.com,TXN_00883,ITM_163,6/28/2023,780.95,COMPLETED,PENDING,PREMIUM,NORTH,ELECTRONICS,7,25.44,802.81,56.77,20.33,62.39,,2023-05-13T18:30:00.000Z
CLI_0266,Alice Johnson,reconcile67@test.com,TXN_00674,ITM_008,3/27/2023,590.55,PENDING,PENDING,STANDARD,WEST,FASHION,2,122.79,832.24,94.04,5.15,11.36,,2023-07-19T18:30:00.000Z
CLI_0162,Alice Johnson,reconcile68@test.com,TXN_00212,ITM_079,1/26/2023,190.07,PENDING,PENDING,VIP,NORTH,FASHION,1,279.07,431.57,92.76,18.02,20.08,,2023-08-05T18:30:00.000Z
CLI_0070,John Smith,reconcile69@test.com,TXN_00095,ITM_004,6/28/2023,403.12,COMPLETED,DELIVERED,STANDARD,WEST,ELECTRONICS,4,196.36,561.97,28.88,10.81,55.10,Additional processing required,2023-09-04T18:30:00.000Z
CLI_0471,Alice Johnson,reconcile70@test.com,TXN_00953,ITM_073,11/18/2023,975.54,PENDING,PENDING,PREMIUM,WEST,ELECTRONICS,4,224.15,815.09,66.60,18.01,38.95,Additional processing required,2023-05-01T18:30:00.000Z
CLI_0143,Jane Doe,reconcile71@test.com,TXN_00225,ITM_005,1/21/2023,696.91,PENDING,DELIVERED,PREMIUM,SOUTH,HOME,4,252.01,439.75,57.17,12.99,18.37,,2023-08-07T18:30:00.000Z
CLI_0052,John Smith,reconcile72@test.com,TXN_00603,ITM_193,2/1/2023,138.39,FAILED,IN_TRANSIT,STANDARD,NORTH,ELECTRONICS,7,142.98,469.34,78.08,9.50,54.42,,2023-02-12T18:30:00.000Z
CLI_0256,Alice Johnson,reconcile73@test.com,TXN_00719,ITM_121,3/2/2023,187.84,COMPLETED,DELIVERED,VIP,WEST,ELECTRONICS,6,300.24,733.86,8.67,24.31,40.49,,2023-11-15T18:30:00.000Z
CLI_0165,John Smith,reconcile74@test.com,TXN_00630,ITM_008,3/4/2023,306.10,COMPLETED,IN_TRANSIT,PREMIUM,WEST,ELECTRONICS,5,93.25,229.07,29.19,24.02,24.19,Additional processing required,2023-03-27T18:30:00.000Z
CLI_0034,Jane Doe,reconcile75@test.com,TXN_00678,ITM_184,6/24/2023,473.36,PENDING,IN_TRANSIT,PREMIUM,NORTH,HOME,7,304.07,159.15,35.14,11.51,51.98,,2023-07-06T18:30:00.000Z
CLI_0389,Jane Doe,reconcile76@test.com,TXN_00338,ITM_176,9/28/2023,270.68,FAILED,PENDING,VIP,NORTH,BOOKS,8,281.19,665.70,21.20,22.80,64.47,Additional processing required,2023-04-07T18:30:00.000Z
CLI_0277,Alice Johnson,reconcile77@test.com,TXN_00626,ITM_166,2/28/2023,354.12,FAILED,IN_TRANSIT,STANDARD,SOUTH,FASHION,1,21.33,708.25,62.61,5.98,59.92,,2023-01-20T18:30:00.000Z
CLI_0444,Jane Doe,reconcile78@test.com,TXN_00718,ITM_043,1/3/2023,607.86,COMPLETED,PENDING,STANDARD,NORTH,HOME,5,133.33,863.16,31.61,13.72,60.81,,2023-03-16T18:30:00.000Z
CLI_0388,Bob Wilson,reconcile79@test.com,TXN_00260,ITM_042,4/19/2023,388.52,PENDING,PENDING,PREMIUM,NORTH,BOOKS,4,209.68,862.39,72.93,25.81,52.31,,2023-11-12T18:30:00.000Z
CLI_0080,Alice Johnson,reconcile80@test.com,TXN_00075,ITM_067,10/6/2023,415.45,FAILED,DELIVERED,STANDARD,WEST,HOME,7,163.57,287.10,65.55,10.13,46.31,,2023-06-10T18:30:00.000Z
CLI_0363,John Smith,reconcile81@test.com,TXN_00469,ITM_082,4/17/2023,367.89,FAILED,IN_TRANSIT,PREMIUM,WEST,HOME,5,12.38,418.09,20.93,7.42,49.11,,2023-11-19T18:30:00.000Z
CLI_0033,Jane Doe,reconcile82@test.com,TXN_00374,ITM_059,8/13/2023,1045.77,PENDING,PENDING,PREMIUM,SOUTH,FASHION,9,68.92,496.41,83.32,26.46,48.82,,2023-10-18T18:30:00.000Z
CLI_0369,Jane Doe,reconcile83@test.com,TXN_00015,ITM_097,6/17/2023,372.53,FAILED,IN_TRANSIT,PREMIUM,NORTH,FASHION,3,291.10,383.79,86.21,22.22,18.58,,2023-04-18T18:30:00.000Z
CLI_0481,Jane Doe,reconcile84@test.com,TXN_00195,ITM_036,7/6/2023,318.62,COMPLETED,DELIVERED,PREMIUM,EAST,HOME,9,30.37,368.96,25.96,28.04,8.40,Additional processing required,2023-10-20T18:30:00.000Z
CLI_0499,Bob Wilson,reconcile85@test.com,TXN_00817,ITM_107,1/7/2023,287.32,PENDING,DELIVERED,PREMIUM,NORTH,ELECTRONICS,10,199.39,225.90,77.13,26.13,40.34,,2023-10-16T18:30:00.000Z
CLI_0486,Bob Wilson,reconcile86@test.com,TXN_00198,ITM_064,1/6/2023,617.52,COMPLETED,DELIVERED,STANDARD,SOUTH,ELECTRONICS,9,207.43,319.13,8.76,24.13,32.45,,2023-05-31T18:30:00.000Z
CLI_0092,Bob Wilson,reconcile87@test.com,TXN_00835,ITM_197,11/17/2023,745.70,FAILED,IN_TRANSIT,VIP,WEST,HOME,2,31.81,253.93,52.88,18.45,29.22,Additional processing required,2023-11-30T18:30:00.000Z
CLI_0381,Alice Johnson,reconcile88@test.com,TXN_00706,ITM_049,1/16/2023,1045.58,PENDING,DELIVERED,PREMIUM,WEST,HOME,8,117.03,509.10,57.43,27.37,39.30,Additional processing required,2023-05-21T18:30:00.000Z
CLI_0458,Alice Johnson,reconcile89@test.com,TXN_00071,ITM_061,12/13/2023,188.82,PENDING,PENDING,PREMIUM,NORTH,FASHION,5,102.62,659.25,32.36,14.98,40.10,,2023-09-07T18:30:00.000Z
CLI_0414,Jane Doe,reconcile90@test.com,TXN_00774,ITM_066,6/1/2023,120.54,PENDING,PENDING,STANDARD,EAST,HOME,7,254.05,864.97,8.85,8.68,32.22,Additional processing required,2023-11-03T18:30:00.000Z
CLI_0181,John Smith,reconcile91@test.com,TXN_00356,ITM_116,4/16/2023,524.07,PENDING,PENDING,STANDARD,NORTH,BOOKS,8,237.45,899.71,29.40,8.58,39.80,Additional processing required,2023-11-08T18:30:00.000Z
CLI_0036,Bob Wilson,reconcile92@test.com,TXN_00935,ITM_046,9/10/2023,731.60,PENDING,DELIVERED,PREMIUM,NORTH,FASHION,8,145.16,544.96,25.52,27.39,46.21,,2023-04-01T18:30:00.000Z
CLI_0398,Alice Johnson,reconcile93@test.com,TXN_00042,ITM_068,10/11/2023,654.29,FAILED,IN_TRANSIT,VIP,NORTH,FASHION,6,308.55,229.45,34.53,14.73,32.16,Additional processing required,2023-08-25T18:30:00.000Z
CLI_0411,John Smith,reconcile94@test.com,TXN_00984,ITM_185,4/3/2023,567.55,COMPLETED,PENDING,VIP,NORTH,BOOKS,10,51.56,681.49,29.00,18.86,39.51,Additional processing required,2023-09-24T18:30:00.000Z
CLI_0461,Bob Wilson,reconcile95@test.com,TXN_00762,ITM_119,11/2/2023,626.21,COMPLETED,PENDING,VIP,EAST,FASHION,4,296.25,185.30,91.64,29.19,56.29,,2023-10-15T18:30:00.000Z
CLI_0167,John Smith,reconcile96@test.com,TXN_00075,ITM_173,11/19/2023,304.98,FAILED,DELIVERED,PREMIUM,NORTH,BOOKS,1,301.61,431.86,4.33,16.34,54.79,,2023-11-04T18:30:00.000Z
CLI_0105,Bob Wilson,reconcile97@test.com,TXN_00050,ITM_164,9/18/2023,800.45,FAILED,DELIVERED,STANDARD,NORTH,HOME,2,183.68,235.72,54.13,16.04,35.44,Additional processing required,2023-01-01T18:30:00.000Z
CLI_0244,Bob Wilson,reconcile98@test.com,TXN_00409,ITM_190,2/16/2023,117.32,COMPLETED,DELIVERED,VIP,WEST,ELECTRONICS,2,41.12,162.20,59.98,18.49,15.69,,2023-06-23T18:30:00.000Z
CLI_0054,John Smith,reconcile99@test.com,TXN_00495,ITM_189,9/17/2023,541.14,PENDING,IN_TRANSIT,PREMIUM,EAST,FASHION,4,38.51,222.21,8.48,8.44,25.40,Additional processing required,2023-10-17T18:30:00.000Z
CLI_0118,Alice Johnson,reconcile100@test.com,TXN_00977,ITM_050,6/3/2023,726.26,PENDING,DELIVERED,STANDARD,SOUTH,FASHION,2,127.55,781.65,38.84,21.58,6.07,,2023-03-25T18:30:00.000Z
CLI_0369,Jane Doe,reconcile101@test.com,TXN_00936,ITM_042,10/17/2023,675.07,COMPLETED,IN_TRANSIT,PREMIUM,SOUTH,BOOKS,4,147.81,856.22,86.51,12.20,35.66,,2023-02-15T18:30:00.000Z
CLI_0497,Alice Johnson,reconcile102@test.com,TXN_00179,ITM_143,12/3/2023,720.45,COMPLETED,IN_TRANSIT,VIP,EAST,FASHION,10,48.55,241.32,80.93,6.37,60.62,Additional processing required,2023-03-01T18:30:00.000Z
CLI_0043,Bob Wilson,reconcile103@test.com,TXN_00320,ITM_197,12/20/2023,341.58,PENDING,IN_TRANSIT,VIP,WEST,ELECTRONICS,7,84.09,745.74,50.31,16.08,61.34,,2023-02-19T18:30:00.000Z
CLI_0325,John Smith,reconcile104@test.com,TXN_00855,ITM_114,8/9/2023,260.56,COMPLETED,IN_TRANSIT,PREMIUM,SOUTH,HOME,10,140.66,532.70,1.20,10.26,18.68,,2023-07-02T18:30:00.000Z
CLI_0175,Alice Johnson,reconcile105@test.com,TXN_00201,ITM_045,5/19/2023,318.17,PENDING,IN_TRANSIT,STANDARD,WEST,BOOKS,1,152.95,549.47,89.50,22.80,52.53,,2023-08-18T18:30:00.000Z
CLI_0433,Jane Doe,reconcile106@test.com,TXN_00287,ITM_112,8/22/2023,543.30,FAILED,PENDING,STANDARD,SOUTH,BOOKS,9,121.03,499.42,18.46,11.82,26.46,,2023-12-06T18:30:00.000Z
CLI_0269,Alice Johnson,reconcile107@test.com,TXN_00457,ITM_175,8/9/2023,568.10,PENDING,IN_TRANSIT,PREMIUM,EAST,BOOKS,8,261.16,388.34,49.82,24.12,54.08,Additional processing required,2023-06-08T18:30:00.000Z
CLI_0392,John Smith,reconcile108@test.com,TXN_00565,ITM_097,6/22/2023,110.40,COMPLETED,DELIVERED,PREMIUM,NORTH,FASHION,7,18.16,429.71,1.69,23.03,50.97,,2023-12-13T18:30:00.000Z
CLI_0051,Jane Doe,reconcile109@test.com,TXN_00309,ITM_009,6/15/2023,558.99,COMPLETED,IN_TRANSIT,VIP,SOUTH,BOOKS,6,268.53,809.39,15.36,19.05,43.60,,2023-08-31T18:30:00.000Z
CLI_0360,Jane Doe,reconcile110@test.com,TXN_00240,ITM_027,2/20/2023,223.34,PENDING,PENDING,STANDARD,NORTH,BOOKS,9,154.67,410.57,10.62,6.38,50.45,,2023-12-13T18:30:00.000Z
CLI_0346,Bob Wilson,reconcile111@test.com,TXN_00333,ITM_043,4/17/2023,230.31,FAILED,PENDING,STANDARD,WEST,BOOKS,10,45.17,791.61,35.52,5.49,29.62,Additional processing required,2023-11-20T18:30:00.000Z
CLI_0142,John Smith,reconcile112@test.com,TXN_00445,ITM_200,6/2/2023,791.56,PENDING,DELIVERED,STANDARD,NORTH,BOOKS,1,56.76,778.60,53.66,5.23,31.34,,2023-04-24T18:30:00.000Z
CLI_0446,Bob Wilson,reconcile113@test.com,TXN_00866,ITM_162,9/2/2023,255.24,FAILED,PENDING,STANDARD,NORTH,BOOKS,2,25.07,797.04,71.39,23.38,58.85,Additional processing required,2023-06-27T18:30:00.000Z
CLI_0465,Jane Doe,reconcile114@test.com,TXN_00906,ITM_115,4/21/2023,273.37,PENDING,PENDING,STANDARD,NORTH,FASHION,2,307.63,548.16,94.71,12.26,36.72,Additional processing required,2023-05-07T18:30:00.000Z
CLI_0119,John Smith,reconcile115@test.com,TXN_00687,ITM_046,12/20/2023,55.34,FAILED,DELIVERED,STANDARD,NORTH,HOME,10,20.40,588.14,32.88,5.74,41.50,,2023-08-22T18:30:00.000Z
